Theme,Level 2,Level 3,Name,Summary,Link (latest),,Tabs,Number of series,,,,,,
Employment and Labour Market,Public Sector Personnel,,Public Sector Employment,,http://www.ons.gov.uk/ons/rel/pse/public-sector-employment/q1-2014/rft-pse-2014-q1.xls,Public Sector Employment,Table 1,6,,,,,,
,,,,,,,,,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Adoption,Adoptions summary,,http://www.ons.gov.uk/ons/rel/vsob1/adoptions-in-england-and-wales/2012/rtd-adoptions-tables--2012.xls,Adoptions in England and Wales,"Table 1a, 1b",20,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Adoption,Adoptions by age,,http://www.ons.gov.uk/ons/rel/vsob1/adoptions-in-england-and-wales/2012/rtd-adoptions-tables--2012.xls,Adoptions in England and Wales,"Table 2a, 2b",24,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Ageing,Estimates of the very old,,http://www.ons.gov.uk/ons/rel/mortality-ageing/estimates-of-the-very-old--including-centenarians-/2002---2012--united-kingdom/rft-uk.xls,Mid-Year Population Estimates of the Very Old (including centenarians),Only table,54,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Conception and Fertility Rates,Teenage conceptions,,http://www.ons.gov.uk/ons/rel/vsob1/conception-statistics--england-and-wales/2012/rft-conception-statistics-2012.xls,Conception statistics,Table 1,40,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Deaths,Deaths summary,,http://www.ons.gov.uk/ons/rel/vsob1/vital-statistics--population-and-health-reference-tables/winter-2013-update/annual-table.xls,Vital Statistics: Population and Health Reference Tables (November 2013 Update): Annual Time Series Data ,Deaths,36,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Divorce,Number of couples divorcing,,http://www.ons.gov.uk/ons/rel/vsob1/divorces-in-england-and-wales/2012/rtd-divorces---number-of-divorces-age-at-divorce-and-marital-status-before-marriage.xls,"1. Divorces in England and Wales, 2012: Number of Divorces, Age at Divorce and Marital Status before Marriage ",Table 1,12,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Families,Families by family type,,http://www.ons.gov.uk/ons/rel/family-demography/families-and-households/2013/rft-tables.xls,"Families and Households, 2013 ",1,27,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Life Expectancies,Life expectency UK,,http://www.ons.gov.uk/ons/rel/subnational-health4/life-expec-at-birth-age-65/2006-08-to-2010-12/rft-table-1.xls,Table 1: Life expectancy at birth and at age 65 for the UK and local areas in England and Wales,"UK at birth, UK at age 65",12,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Life Expectancies,Life expectency England and Wales,,http://www.ons.gov.uk/ons/rel/subnational-health4/life-expec-at-birth-age-65/2006-08-to-2010-12/rft-table-1.xls,Table 1: Life expectancy at birth and at age 65 for the UK and local areas in England and Wales,"E&W at birth, E&W at age 65",18,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Live Births,Births summary,,http://www.ons.gov.uk/ons/rel/vsob1/birth-summary-tables--england-and-wales/2013/rft-births-summary-tables-2013.xls,Birth Summary Tables - England and Wales,"Table 1, 2a, 2b",26,,,,,,
"People, Population and Community","Births, Deaths and Marriages","Marriage, Cohabitation and Civil Partnerships",Marriages summary,,http://www.ons.gov.uk/ons/rel/vsob1/marriages-in-england-and-wales--provisional-/2012/rtd-marriage-summary-statistics-2012--provisional-.xls,1. Marriage Summary Statistics 2012 ,Table 1,11,,,,,,
"People, Population and Community","Births, Deaths and Marriages","Marriage, Cohabitation and Civil Partnerships",Civil partnerships summary,,http://www.ons.gov.uk/ons/rel/vsob2/civil-partnership-statistics--united-kingdom/2012/rtd-formations.xls,"Civil Partnership Formations, 2012 ",Table 1,15,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Maternities,N/A,,,,,,,,,,,
"People, Population and Community","Births, Deaths and Marriages",Stillbirths,N/A,,,,,,,,,,,
"People, Population and Community",Crime and Justice,,Crime Survey for England and Wales summary,,http://www.ons.gov.uk/ons/rel/crime-stats/crime-statistics/period-ending-march-2014/rft-table-1.xls,01. Bulletin Tables - Crime in England and Wales,Table 1,15,,,,,,
"People, Population and Community",Crime and Justice,,Police recorded crime summary,,http://www.ons.gov.uk/ons/rel/crime-stats/crime-statistics/period-ending-march-2014/rft-table-1.xls,01. Bulletin Tables - Crime in England and Wales,Table 2,33,,,,,,
"People, Population and Community",Cultural Identity,Ethnicity,Ethnicity,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-for-local-authorities-in-england-and-wales/rft-table-ks201ew.xls,"2011 Census: KS201EW Ethnic group, local authorities in England and Wales ","KS201EW_Numbers, KS201EW_Percentages",38,,,,,,
"People, Population and Community",Cultural Identity,Language,Language ,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-and-quick-statistics-for-wards-and-output-areas-in-england-and-wales/rft-qs204ew.xls,"2011 Census: QS204EW Main language (detailed), local authorities in England and Wales ","QS204EW_Numbers, QS204EW_Percentages",208,,,,,,
"People, Population and Community",Cultural Identity,Religion,Religion,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-for-local-authorities-in-england-and-wales/rft-table-ks209ew.xls,"2011 Census: KS209EW Religion, local authorities in England and Wales ",,20,,,,,,
"People, Population and Community",Cultural Identity,Sexuality,N/A,,,,,,,,,,,
"People, Population and Community",Elections,Electoral Registration,Electoral Statistics,,http://www.ons.gov.uk/ons/rel/pop-estimate/electoral-statistics-for-uk/2013/rft---2013-uk-electoral-statistics-unformatted.xls,"Electoral Statistics for UK, 2013 ","Table 1 LG Elect 2013, Table 2 PC Elect 2013",8,,,,,,
"People, Population and Community",Health and Social Care,Causes of Death,Causes of death,,http://www.ons.gov.uk/ons/rel/vsob1/death-reg-sum-tables/2013/rft-deaths-summary-tables-2013.xls,Death Registration Summary Tables - England and Wales,Table 2,18,,,,,,
"People, Population and Community",Health and Social Care,Conditions and Diseases,N/A,,,,,,Data too spread out to do anything realistic,,,,,
"People, Population and Community",Health and Social Care,Disability,Long-term health problem or disability,,http://www.ons.gov.uk/ons/rel/census/2011-census/key-statistics-and-quick-statistics-for-local-authorities-in-the-united-kingdom---part-1/rft-qs303uk.xls,"2011 Census: QS303UK Long-term health problem or disability, local authorities in the United Kingdom ","QS303UK_Numbers, QS303UK_Percentages",8,,,,,,
"People, Population and Community",Health and Social Care,"Drug use, Alcohol and Smoking","Deaths from drug-related poisoning and drug misuse, by sex",,http://www.ons.gov.uk/ons/rel/subnational-health3/deaths-related-to-drug-poisoning/2012/drugs-reference-tables.xls,"Deaths related to drug poisoning, 2012 ",Table 1,6,,,,,,
"People, Population and Community",Health and Social Care,"Drug use, Alcohol and Smoking","Alcohol-related deaths, UK",,http://www.ons.gov.uk/ons/rel/subnational-health4/alcohol-related-deaths-in-the-united-kingdom/2012/rft-table-1.xls,"Table 1: Alcohol-related deaths by sex and age group, UK, registered ","Alcohol-related deaths, UK",56,,,,,,
"People, Population and Community",Health and Social Care,Health and Life Expectancies,,,,,,,,,,,,
"People, Population and Community",Health and Social Care,Health and Well-being,,,,,,,,,,,,
"People, Population and Community",Household Characteristics,Home Internet and Social Media Usage,"Internet users and non-users, UK",,http://www.ons.gov.uk/ons/rel/rdit2/internet-access-quarterly-update/q1-2014/rft-ia-q1-2014.xls,Internet Access Quarterly Update,Table 1A,32,,,,,,
"People, Population and Community",Housing,,Average house prices,,http://www.ons.gov.uk/ons/rel/hpi/house-price-index/may-2014/rft-monthly-and-qtly-may14.xls,"House Price Index, May 2014: Monthly & Quarterly Tables ",Table 2,16,,,,,,
"People, Population and Community",Leisure and Tourism,,Visits and spending to UK,,http://www.ons.gov.uk/ons/datasets-and-tables/data-selector.html?dataset=ott,OTT dataset,N/A,8,,,,,,
"People, Population and Community",Personal and Household Finances,Debt,,,,,,,,,,,,
"People, Population and Community",Personal and Household Finances,Expenditure,Housing expenditure,,http://www.ons.gov.uk/ons/rel/family-spending/family-spending/2013-edition/rft-2-2-final.xls,Table 2.2 - Housing expenditure,Table 2.2,16,,,,,,
"People, Population and Community",Personal and Household Finances,Income and Wealth,,,,,,,,,,,,
"People, Population and Community",Population and Migration,International Migration,Long-Term International Migration,,http://www.ons.gov.uk/ons/rel/migration1/migration-statistics-quarterly-report/may-2014/provisional-13q4.xls,Provisional Long-Term International Migration (LTIM) Estimates,Table 1,22,,,,,,
"People, Population and Community",Population and Migration,Migration within the UK,Internal migration by English regions and Wales,,http://www.ons.gov.uk/ons/rel/migration1/internal-migration-by-local-authorities-in-england-and-wales/year-ending-june-2013/rft-table-3---internal-migration-la.xls,Internal Migration LA and Region Moves and by Sex and Single Year of Age Totals,Region Moves,10,,,,,,
"People, Population and Community",Population and Migration,Population Estimates,Population Summary,"Population estimates by quinary age group for the United Kingdom, England and Wales, and Great Britain",http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-uk--england-and-wales--scotland-and-northern-ireland/2013/rft---mid-2013-uk-population-estimates.zip,"Population Estimates for UK, England and Wales, Scotland and Northern Ireland",Summary UK,154,,,,,,
"People, Population and Community",Population and Migration,Population Estimates,Population by Age and Sex,"Population estimates by sex and single year of age for countries, regions and smaller geographic breakdowns",,,,,,,,,,
"People, Population and Community",Population and Migration,Population Estimates,Population for Local Authorities,"Components of population change for countries; regions, counties and smaller geographic breakdowns",,,,,,,,,,
"People, Population and Community",Population and Migration,Population Projections,Principal Projection - UK Summary,,http://www.ons.gov.uk/ons/rel/npp/national-population-projections/2012-based-projections/rft-table-a1-1-principal-projection---uk-summary.xls,"Table A1-1, Principal Projection - UK Summary",PERSONS,12,,,,,,
"People, Population and Community",Well-being,,Personal well-being,,http://www.ons.gov.uk/ons/rel/wellbeing/measuring-national-well-being/personal-well-being-across-the-uk--2012-13/rft-table-3.xls,Reference Table 3: Personal Well-being change over time,"Life Satisfaction, Worthwhile, Happiness, Anxiety",56,,,,,,
