Theme,Subject,Topic,Lede,More
"Business, Industry and Trade",,,,
,"Business Activity, Size and Location",,,
,Retail Industry,,"The Retail industry is the sale of goods and services from individuals or businesses to the end-user. Retailers are part of an integrated system called the supply chain. A retailer purchases goods or products in large quantities from manufacturers directly or through a wholesale, and then sells smaller quantities to the consumer for a profit. Retailing can be done in either fixed locations like stores or markets, door-to-door or by delivery.",
,International Trade,,"International trade is the exchange of capital, goods, and services across international borders or territories. In most countries, such trade represents a significant share of gross domestic product (GDP).",
,Construction Industry,,"The Construction industry definition includes general construction and allied construction activities for buildings and civil engineering works. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature. ",
,Changes to Business,,,
,,"Business Births, Deaths and Survival Rates",,
,,Mergers and Acquisitions,"Mergers And Acquisitions is general term used to refer to the consolidation of companies. A merger is a combination of two companies to form a new company, while an acquisition is the purchase of one company by another in which no new company is formed.",
,IT and Internet Industry,,"Internet sales statistics measure the value of Internet Sales of British retailers on a monthly basis. They are released as part of the Retail Sales Index, a key economic indicator used to estimate consumer spending on retail goods and the outputs of the retail sector.",
,Manufacturing and Production Industry,,,
,Tourism Industry,,"The Tourism Industry include all those establishments whose main activity concerns producing products or services for visitors. Tourism is defined by the activities of persons identified as visitors. A visitor is someone who is making a visit to a main destination outside his/her usual environment for less than a year for any main purpose [including] holidays, leisure and recreation, business, health, education or other purposes.",
Economy,,,"An economy or economic system consists of the production, distribution or trade, and consumption of limited goods and services by different agents in a given geographical location. The economic agents can be individuals, businesses, organizations, or governments. Transactions occur when two parties agree to the value or price of the transacted good or service, commonly expressed in a certain currency.",
,Gross Domestic Product (GDP),,"Gross domestic product (GDP) is a measure of economic activity which captures the value of goods and services that the UK produces during a given period. GDP can be expressed in nominal or real terms. Nominal GDP reflects the value of all the goods and services which are produced in the UK during a given period, using their price at the time of production.","Real GDP also reflects the value of produced goods and services, but it uses constant consumer and producer price indices to remove the effects of rising price levels (inflation). Periods of real GDP growth are thought to enhance the welfare of individuals as economic growth allows average incomes to rise, supporting a higher level of consumption. Periods of negative real GDP growth are associated with lower incomes, lower consumption and consequently a lower standard of living."
,Inflation and Price Indices,,Consumer price inflation is the speed at which the prices of goods and services bought by households rise or fall. Consumer price inflation is estimated by using price indices. One way to understand a price index is to think of a very large shopping basket containing all the goods and services bought by households. The price index estimates changes to the total cost of this basket. ONS consumer price indices are published monthly.,"A price index can be used to measure inflation in a number of ways. The most common is to look at how the index has changed over a year. This is calculated by comparing the price index for the latest month with the same month a year ago. This is known as the 12-month inflation rate. This bulletin measures inflation to September 2014, so the 12-month rate measures changes in prices between September 2013 and September 2014. ONS publishes a range of measures of consumer price and other price inflation. A tale of many price indices summarises information on the different measures."
,National Accounts,,"The national accounts provide an integrated description of all economic activity within the economic territory of the UK, including activity involving both domestic units (i.e. individuals and institutions resident in the UK) and external units (those resident in other countries). In addition to being comprehensive, the accounts are fully integrated and internally consistent.","The majority of the core accounts deal with transactions between the various sectors of the economy, such as corporations, households and government, as well as transactions with the rest of the world."
