Name,CDID,Seasonal adjustment,Units,Main measure,Description,Note 1,Note 2
CPI: Weights (Parts Per 1000): Non-Energy Industrial Goods,A9ER,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Durables Goods,A9ES,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Semi-Durables Goods,A9ET,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Non-Durables Goods,A9EU,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Non-Seasonal Food Goods,A9EV,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
"CPI: Weights (Parts Per 1000): Food, Alcoholic Beverages and Tobacco Goods",A9EW,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Processed Food and Non-Alcoholic Beverages Goods,A9EX,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Unprocessed Food Goods,A9EY,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Seasonal Food Goods,A9EZ,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
CPI: Weights (Parts Per 1000): Industrial Goods,A9F2,Not seasonally adjusted,Weights (parts per 1000),Consumer Prices Index,"Consumer price indices are important indicators of how the UK economy is performing.

The indices are used in many ways by the government, businesses, and society in general. They can affect interest rates, tax allowances, wages, state benefits, pensions, maintenance, contracts and many other payments. They also show the impact of inflation on family budgets and affect the value of the pound in your pocket.",,
