,,,,,,
,Number of series for product pages,Number of datasets,Total series in datasets,Bulletins,No of uses,
,Count of Key,Count of Link (latest),,Row Labels,Count of Name,
,283,63,2005,"2011 Census: Key Statistics for England and Wales, March 2011",2,
,,,,"2011 Census: Quick Statistics for England and Wales, March 2011",1,
,,,,"Adoptions in England and Wales, 2012",1,
,,,,Alcohol-related deaths in the United Kingdom,1,
,,,,"Annual Mid-year Population Estimates, 2013",1,
,,,,"Annual Survey of Hours and Earnings Pension Tables, 2013 Provisional Results",1,
,,,,"Annual Survey of Hours and Earnings, 2013 Provisional Results",1,
,,,,"Balance of Payments, Q1 2014",1,
,,,,"Births in England and Wales, 2013",2,
,,,,"Business Demography, 2012",1,
,,,,"Cancer Statistics Registrations, England (Series MB1), No. 43, 2012",1,
,,,,Civil Partnerships in the UK,1,
,,,,"Cohort Fertility, 2012",1,
,,,,"Conceptions in England and Wales, 2012",1,
,,,,"Consumer Price Inflation, June 2014",1,
,,,,"Crime in England and Wales, Year Ending March 2014",1,
,,,,"Deaths Registered in England and Wales, 2013",2,
,,,,"Deaths Related to Drug Poisoning in England and Wales, 2012",1,
,,,,"Divorces in England and Wales, 2012",1,
,,,,E-Commerce and ICT Activity,1,
,,,,"Electoral Statistics for UK, 2013",1,
,,,,"Estimates of the Very Old (including Centenarians) for the United Kingdom, 2002-2012",1,
,,,,"Families and Households, 2013",1,
,,,,"Foreign Direct Investment Involving UK Companies, 2012 (MA4)",1,
,,,,"Gross Domestic Product Preliminary Estimate, Q2 2014",1,
,,,,House Price Index,1,
,,,,"Index of Production, June 2014",1,
,,,,Integrated Household Survey April 2011 to March 2012: Experimental Statistics,1,
,,,,"Internal Migration, England and Wales, Year Ending June 2013",1,
,,,,"Internet Access Quarterly Update, Q1 2014",1,
,,,,Key Statistics and Quick Statistics for local authorities in the United Kingdom,1,
,,,,"Labour Productivity, Q1 2014 ",1,
,,,,"Life Expectancy at Birth and at Age 65 by Local Areas in the United Kingdom, 2006-08 to 2010-12",1,
,,,,Marriages in England and Wales ,1,
,,,,"Mergers and Acquisitions Involving UK Companies, Q1 2014",1,
,,,,"Migration Statistics Quarterly Report, May 2014",1,
,,,,"National Population Projections, 2012-based",1,
,,,,No bulletin available,6,
,,,,"Output in the Construction Industry, June and Q2 2014",1,
,,,,"Overseas Travel and Tourism, Provisional Results for May 2014",2,
,,,,"Personal Well-being Across the UK, 2012/13",1,
,,,,"Public Sector Employment, Q1 2014",1,
,,,,"Public Sector Finances, June 2014",1,
,,,,"Quarterly National Accounts, Q1 2014",1,
,,,,"Regional Gross Disposable Household Income (GDHI), 2012",1,
,,,,"Regional Gross Value Added (Income Approach), December 2013",1,
,,,,"Retail Sales, June 2014",1,
,,,,"UK Business: Activity, Size and Location - 2013",1,
,,,,"UK Environmental Accounts, 2014",1,
,,,,"UK Gross Domestic Expenditure on Research and Development, 2012",1,
,,,,"UK Labour Market, July 2014",4,
,,,,"UK Trade, June 2014",1,
,,,,"Wealth and Income, 2010-12",1,
,,,,(blank),,
,,,,Grand Total,65,
